| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Chow Ming-cheung, Larry | ['Head(ABCT) & Professor', 'Professor', 'Department of Applied Biology and Chemical Technology'] | ['Department of Applied Biology and Chemical Technology'] | ['University of London (Imperial College London)', 'University of Hong Kong'] | ['Bachelor of Science in Biochemistry', 'University of London (Imperial College London)', 'PhD in Organic Chemistry'] | ['flavonoids', 'multidrug resistance in cancers', 'leishmanial agents', 'natural product chemistry and chemical biology', 'drug discovery and development', 'multidrug resistance and cancer therapy', 'leishmaniac perspectives', 'ABCC2'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Wong Wing-tak | ['Deputy President and Provost & Chair Professor of Chemical Technology', 'Professor', 'Department of Applied Biology and Chemical Technology'] | ['Department of Applied Biology and Chemical Technology'] | ['The University of Hong Kong', 'University of Cambridge', 'UK', 'University of California', 'Berkeley'] | ['Bachelor of Science', 'Master of Philosophy', 'Doctor of Science', 'Doctor of Philosophy', 'PhD in Chemistry'] | ['molecular probes for biological imaging and X-ray crystallography', 'Development of lanthanide-based materials for optical and magnetic resonance imaging applications and investigation of their fundamental properties for performance optimization', 'Lanthanide Complexes for MR Imaging', 'Molecular Probes for Chemical Imaging', 'Nanostructures for Ion Sensing', 'X-Ray Crystallography', 'Biodiesel production', 'green biodiesel production', 'catalysts for biodiesel production', 'nanoparticles-assisted multiplexed photoacoustic imaging and enhanced photothermal cancer therapy', 'biomimetic anti-PD-1 peptide-loaded 2D FePSe3 nanosheets for efficient photothermal and enhanced immune therapy with multimodal MR/PA/thermal imaging', 'development of copper nanoclusters for in vitro and in vivo theranostic applications', 'biochemistry', 'biophysics and materials science', 'rare earth coordination chemistry', 'organometallic chemistry'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Wong Kwok-yin | ['VP(EDU) & Chair Professor', 'Department of Applied Biology and Chemical Technology', 'Fellow of the Royal Society of Chemistry (UK)', 'Patrick S', 'C', 'Poon Endowed Professorship', 'Professor', 'Head of the Department of Applied Biology and Chemical Technology', 'Prof'] | ['Department of Applied Biology and Chemical Technology'] | ['The University of Hong Kong'] | ['Bachelor of Science', 'Doctor of Philosophy'] | ['development of inhibitors for bacterial proteins as antimicrobial agents', 'construction of biosensors to screen those inhibitors', 'new materials and catalysts for green chemistry and energy', 'Electrocatalysis and Photocatalysis Biosensors Green Chemistry Antibiotic Development', 'antibiotics', 'bacterial infections', 'photocatalytic reduction of water to hydrogen', 'Ebselen', 'NDM-1', 'Anth-cyclic tetrapeptides', 'phase transfer catalysis', 'Antibacterial activity of N-methylbenzofuro[3', '2-b]quinoline and N-methylbenzoindolo[3', '2-b]-quinoline derivatives', 'mode of action', 'Water oxidation catalysts based on Manganese and Cobalt Complexes'] |

| name | position | department | school | degrees | research_interests |
